,Unnamed: 0.1,Unnamed: 0,id,sentiment,text,topic,ip
0,0.0,,1589528814274478081,1,"Coucou mes bébés 

Qui pour me faire jouit 🥵🍆🍑

Dm pour réservation réel pour baiser bébé

Packs de nude personnalisé 🍑

Sex cam payant 😵

Rt, Follow et laisse un 🍆 en commentaire

Pas de plaisantin 💔 https://t.co/abl9i5bvNC",['bebe'],92.184.124.50
1,1.0,,1602746192466542593,-1,"""L'obsession allemande depuis 30 ans c'est la désintégration d'EDF...ils ont réussi"" Henri Proglio ex PDF #EDF 
#Proglio #ARENH #Energie https://t.co/2FYV32jqcT",['edf'],92.184.124.50
2,2.0,,548072721452892160,1,Bonne Fête à vous ! @LIGNEJ_SNCF #SNCF http://t.co/21iU41ucSK,['sncf'],92.184.124.50
3,3.0,,1585348313934462976,1,"167km / 10 200m de D+, le récit de la Diagonale des Fous lors des 30ans du ⁦@raid_grand⁩ de La Reunion !
« J’ai survécu ». #trail  https://t.co/iP5TQatYKc",['recit'],92.184.124.50
4,4.0,,1596504049792057344,1,Plus c’est long plus c’est bon - 2ème partie de la vidéo @CITEBEUR avec Buzz et Andolini @Andolini691 à mater direct ici: https://t.co/cnNQ6PqFxj https://t.co/D3MEtWqlQb,['studio'],92.184.124.50
5,5.0,,1657101058483671056,-1,"Dans le même registre une cousine que je déteste au plus haut point, rien que de savoir qu'on vit sur la même planète j'ai la haine.
Elle a su que je bosser à disney, elle m'a direct appeler pour savoir su je peux la faire rentrer gratis avec ses gosses mal éduqué https://t.co/shGNJWTGx7",['registre'],92.184.124.50
6,6.0,,1657112125272215568,1,"Pour lui, la construction de cet ouvrage répond à la vision du Chef de l’Etat Félix Tshisekedi qui prône le bien-être social du peuple. «A travers cette vision, nous avons pris l’initiative de construire un grand marché pour permettre aux mamans ainsi qu'à tous les commerçants https://t.co/KmFtpEfXDP",['bien-etre'],92.184.124.50
7,7.0,,1657486553139105792,0,"Il parle du joueur qui empêche les musulmans de l'edf jeûner mdrrrrrr 

Parlez pas politique, restez sur le terrain https://t.co/Mxy2BtG1yS",['edf'],37.65.51.45
8,8.0,,1656424974662488064,-1,@TreasChest Une explosion a retenti a l'instant vu sur telegram,['explosion'],37.65.51.45
9,9.0,,1656378016577081361,-1,"@ShannonSeban @EmmanuelMacron @steph_sejourne @Renaissance @renaissance_SSD @JeunesMacron @JeunesMacron93 La pollution de l'air coûte 101,3 milliard par an à la France,finançons nos retraites et secu avec des navette autonome suspendus sûr monorail sur les rocade,périph,autoroute 180 km en6axe et des ligne élec pour camions hybride à pantographe et prime velomobile élec a tous l",['autoroute'],37.65.51.45
10,10.0,,1656013470075158529,1,"Étant le plus grand d’Algérie, l’aéroport d’Alger est conçu de telle sorte à donner une bonne image du pays aux visiteurs étrangers, mais aussi aux voyageurs algériens eux-mêmes.
(via https://t.co/2S0tf6k45W)

https://t.co/CWMX1zU5EO",['terminal'],37.65.51.45
11,11.0,,1656444908129976321,-1,@SCCR_212 L’année dernière c’était l’inverse et aucun algerien à manquer de respect malheureusement eux et leur complexe d’infériorité …,['inverse'],37.65.51.45
12,12.0,,1657158259248168961,0,@encoreNero Avec Shu sur son vélo et tout..,['velo'],37.65.51.45
13,13.0,,1657145597017686016,0,"@patrick_edery Cela ne doit pas exister que chez les Russes, sinon pourquoi cela:https://t.co/A9aHxJgqs1",['armee'],37.65.51.45
14,14.0,,1657099126016823314,-1,"@richard_cia @Corsicaferries Admettons qu'elle soit arrivée en retard (on ne peut pas faire du surbooking comme dans les avions, déjàpour les avionsc'estlimite) les cabines vacantes suite désistement on les distribue une fois l'embarquement terminé",['cabine'],37.65.51.45
15,15.0,,1656772699253792768,-1,"@epelgrino @kirkjamestkirk @PaxAquitania @RafaleFan @AzmaniMouhieddi Un silhouette clone low cost du F-35, sans emport interne.

Pas convaincu qu'il y ait un marché pour ça en Asie.",['dassault'],37.65.51.45
16,16.0,,1657329395734831104,-1,@BMoon_bee @jdomerchet @DelphineMinoui @Le_Figaro @Le_Figaro dont le propriétaire est @Dassault_OnAir qui en plus d’être islamophobe craint le développement de Turkish Aero Spatial et de son chasseur bombardier qui risque de se vendre dans le monde arabo musulman,['dassault'],37.65.51.45
17,17.0,,1657482648720113664,0,"@unbotdanslaram Vraie question, tu trouves de l'intérêt au fait de prendre le temps de faire des véhicules pour tes déplacements ?",['cheval'],37.65.51.45
18,18.0,,1657472486827491328,0,"Frankrijk pakt gwn elk jaar een bekend Frans woord en maakt er een lied van: voilà, merci, evidemment wie doet een gokje wat het volgend jaar zou zijn? #Eurovision2023",['croissant'],37.65.51.45
19,19.0,,1655356906804846593,-1,Zemour veut remplacer sont FILS fumeurs DE haschich drogué comme papas quel exemple du remplacement https://t.co/n8e5Nuxr4U,['remplacement'],37.65.51.45
20,20.0,,1655921364283322369,-1,Faut faire bosser les feignasses au RSA on ne va pas les laisser s'embourgeoiser aux dépens de la société https://t.co/NhsDHyDwYx,['depens'],37.65.51.45
21,21.0,,1655990793402712106,-1,@Le_Figaro Autant interdire les manifestations d'extrême gauche comme ça tout le monde sera équitable.,['espace'],37.65.51.45
22,22.0,,1655163620286771201,1,Bonne journée dominicale https://t.co/TqJopNv8IO,"['finance', 'union_europeenne']",37.65.51.45
23,23.0,,1656388071846293504,0,🪞Dans quel roman vous êtes-vous le plus reconnu ?📚 https://t.co/CGO52rlIPY,"['comte', 'solitude']",37.65.51.45
24,24.0,,1657523968096477187,1,@Kitty_Detino T’as tout trop bien résumé wsh,['gentil'],37.65.51.45
25,25.0,,1655707814680051714,1,C’est quoi ce gros morceau de poulet ? https://t.co/jXrerlufXN,['morceau'],37.65.51.45
26,26.0,,1657102659705360384,-1,"@melissa_plaza Quand le rejet de son corps, arrive à un point où on impose, ce corps dont on ne veut même pas soi-même, qui ne saurait se passer de molécules de synthèse, aux dosages empiriques, niant les lois immuables de la physique et la biologie, pour écraser celles qu'on prétend semblables","['biologie', 'rejet']",37.65.51.45
27,27.0,,1656675904549175296,-1,"j'ai une clé usb (un linux persistant) qui ne boot plu sur mon ordi

les autres clé bootent comme d'habitude, et la clé linux marche quand même sur mon pc portable, jsp quoi faire ?",['linux'],37.65.51.45
28,28.0,,1656650600212480000,1,"Tout simplement le plus grand film de Super-Héros de tous les temps. 

Et une des plus grandes performances de l’histoire. https://t.co/PBrvVJSEur https://t.co/M1rD2vj1m0",['batman'],37.65.51.45
29,29.0,,1656569968245260289,-1,"Je me mets au wokisme.
J'ai 77 ans, des cheveux blancs, des rides, de l'embonpoint, des problèmes de diabète et de mémoire.
Mais je m'identifie à Robert Pattinson.
Si je ne suis pas dans le prochain Batman, je fais un procès à Hollywood.",['batman'],37.65.51.45
30,30.0,,1654972342823469056,-1,"Lens n’a rien montré aller retour
Tottenham n’a rien montré aller retour
Strasbourg n’a rien montré aller retour
Annecy n’a rien montré https://t.co/wMaE2hXCS7",['strasbourg'],37.65.51.45
31,31.0,,1656802033880424449,-1,"@MathieuSlama Qu’ils aillent au Brésil ou au Pakistan ou au Congo… Les prisons françaises sont déjà trop luxueuses et trop cools.  Lors d’une sortie canoë-kayak, deux détenus se sont évadés. Ils allaient faire du kayak… en vélo ! https://t.co/8Nfko6fr31",['velo'],37.65.51.45
32,32.0,,1657533513686728706,-1,@seb_a_volonte Vraiment dommage mais pas surprenant !! La prestation live était mauvaise et surtout n’avait rien à voir avec la version studio qu’on entendait en boucle. Cherchons du français pour l’année prochaine çà doit bien se trouver 😉,['studio'],37.65.51.45
33,33.0,,1657492096981270528,0,"@hausofcamcam En méchant les films se concentrent surtout sur les orcs et gobelins qui ont été asservi par le grand méchant sauron (en gros c'est l'empereur dans star wars si tu veux).
Au milieu de ça t'as les magiciens dont gandalf. C'est des genre de dieux envoyé sur terre pour guider",['star_wars'],37.65.51.45
34,34.0,,1657458812926795779,-1,"Bizarre, Kader Bamba est bien plus pertinent sur le couloir gauche que dans l’axe",['bizarre'],37.65.51.45
35,35.0,,1655540451460493313,1,"Le 12 avril dernier, avec 48 collègues députés de la majorité, j'appelais le gouvernement et notamment @GDarmanin et @SebLecornu à autoriser les personnes séropositives à rentrer dans la gendarmerie, l’armée et chez les pompiers.

Aujourd'hui, cette décision est prise ! Merci ! https://t.co/qjw0PYEeqI",['armee'],37.65.51.45
36,36.0,,1656935116822683648,-1,"@Yafnagereyugun Elle avait déjà explosé mon connerimomètre. Ce point est vrai, et elle et les clowns qui l'entourent sont d'ailleurs les premiers responsables de cette perte de maitrise technologique.",['technologique'],37.65.51.45
37,37.0,,1657040807986184193,-1,"Souvenez-vous quand les capitalistes nous expliquaient qu'avec la #technologie et l'intelligence artificielle nous gagnerions plus, que nous aurions plus de temps pour les loisirs, que nous partirions plus tôt à la #retraite .
Ils nous ont pris pour des cons et ils continuent... https://t.co/tpklxE7Mo4","['technologie', 'intelligence_artificielle']",37.65.51.45
38,38.0,,1657173230417854465,-1,Impassable! Just dont rage quit #gamedev #indiedev #indiegames #indiegame #indiegamedev https://t.co/hJkRmNUAgH 96,['rage'],37.65.51.45
39,39.0,,1655701258559275008,0,"D’accord, mais pourquoi j’irais voler un bébé en plastique ? https://t.co/TTrNLymvDo",['plastique'],37.65.51.45
40,40.0,,1657445861285154816,-1,@gisle00900476 @Dover63A Il a bien défendu les autres vaccins en sachant que les virus n’existent pas. Il a bien préconisé un traitement toxique sous prétexte d’être positif à la pcr qui n’a aucune capacité de diagnostic. C’est un 🤡.https://t.co/cryTtNMUlP,['technologie'],37.65.51.45
41,41.0,,1657430777360011264,-1,"@tcabarrus @NicoleQ36453302 Qui aurait imaginé, sous Mitterrand, Delors et même Hollande  hurler «  Louis XVI on l’a décapité, Macron on peut recommencer  « personne! Impensable! Le responsable? Faure, soumis à Mélenchon! La Fi a gangrené le reliquat PS. Détruire, pour reconstruire un monde à la Chavez.",['melenchon'],37.65.51.45
42,42.0,,1656433707522162692,0,@jauzy19 @OdvartJames Si il reste en vélo,['velo'],37.65.51.45
